DATE,y,c
1950-04-01,12.021259948715,6.53381907247734
1950-07-01,15.1689705837402,20.0306419390671
1950-10-01,7.5874094968384,-12.2437088252951
1951-01-01,5.39527362008911,9.55700215091326
1951-04-01,6.86921664884004,-11.4662429096001
1951-07-01,8.15623148163347,4.63312437006635
1951-10-01,0.874858830523451,2.32374347209117
1952-01-01,4.2450984474069,0.925628451551574
1952-04-01,0.856282026982669,7.75747932206485
1952-07-01,2.87456837013522,1.91403058788779
1952-10-01,12.9247050540311,13.8680778685554
1953-01-01,7.36788418352745,4.67022668104988
1953-04-01,3.08047389598798,2.40087951849972
1953-07-01,-2.25641620467307,-0.953925007338796
1953-10-01,-6.10116954953668,-2.69103964475335
1954-01-01,-1.91485799598148,1.47263684219325
1954-04-01,0.437411356881157,5.16082184188491
1954-07-01,4.49342429732482,5.37707437044759
1954-10-01,7.75224725404762,8.3081865113158
1955-01-01,11.2662245436667,8.87574607818067
1955-04-01,6.45776978341175,7.59028628186229
1955-07-01,5.36711642654453,4.91031431059668
1955-10-01,2.39547731234211,4.99172422591414
1956-01-01,-1.55519010757246,0.649294072589157
1956-04-01,3.29271491969081,1.32822174867471
1956-07-01,-0.358974578907123,0.903438562136216
1956-10-01,6.53005197417471,5.4766735805174
1957-01-01,2.55290745814634,2.77239369510767
1957-04-01,-0.877522812285036,0.696710450885973
1957-07-01,3.90060694466712,3.1484215469689
1957-10-01,-4.1597076148328,0.166637753127929
1958-01-01,-10.5207675318738,-5.57235246372443
1958-04-01,2.61900267915749,3.29339898068355
1958-07-01,9.14705667412292,6.58208188488203
1958-10-01,9.24524879748532,5.39683112673117
1959-01-01,7.60094792223143,7.26492781596733
1959-04-01,8.91367538424888,6.13046352766702
1959-07-01,0.278809715499051,4.15700872527367
1959-10-01,1.13830154714307,0.450385834921008
1960-01-01,8.89487340014128,3.80841488787951
1960-04-01,-2.1592465838431,5.01409730252647
1960-07-01,1.9549399294533,-1.60211695582575
1960-10-01,-5.16573752972889,0.517706736711432
1961-01-01,2.69099968535258,-0.148570630015854
1961-04-01,6.73440891309056,5.90887697426865
1961-07-01,7.60863795086237,1.94028052503796
1961-10-01,7.77070741471633,7.96602657252947
1962-01-01,7.07177033762321,4.21475138369374
1962-04-01,3.60274403686489,4.88752426029464
1962-07-01,4.88827556731835,3.21075441851661
1962-10-01,1.31544212937342,5.62010834041757
1963-01-01,4.34468072918506,2.79217640479459
1963-04-01,4.46464801594146,3.7568887401747
1963-07-01,8.70002131109402,5.38983051594215
1963-10-01,2.61505220160316,3.31938850188322
1964-01-01,8.34715166972231,7.77446802483723
1964-04-01,4.3327229489762,7.01369728811159
1964-07-01,6.202074999144,7.32146240779628
1964-10-01,1.23485629581026,1.14003970503376
1965-01-01,9.56436918325068,8.8223998217444
1965-04-01,5.02222254817539,4.38733936167068
1965-07-01,8.79523406872309,6.81461801820546
1965-10-01,9.11105046148606,11.0900133188466
1966-01-01,9.61875800108487,5.86184687442142
1966-04-01,1.3635551173266,1.02361019971653
1966-07-01,3.37306823530241,4.54182923009085
1966-10-01,3.26822565407454,1.66294846151231
1967-01-01,3.5275727199938,2.29824893218904
1967-04-01,0.245330628264639,5.43163241750051
1967-07-01,3.7665150191053,2.04287155896452
1967-10-01,3.00410419066779,2.44022544907949
1968-01-01,8.07502535277891,9.4730453040242
1968-04-01,6.62630282745127,6.04504055238095
1968-07-01,3.08613825549742,7.42732747371946
1968-10-01,1.56801902169761,1.80017568397659
1969-01-01,6.20927840813721,4.41088219522641
1969-04-01,1.21157902605518,2.57212540495715
1969-07-01,2.63113681405969,1.94539645959537
1969-10-01,-1.9576187351305,3.18432636244239
1970-01-01,-0.596010670154357,2.47410622520619
1970-04-01,0.566472356990033,1.80799346697285
1970-07-01,3.66899110395238,3.49155037482234
1970-10-01,-4.30942346463965,-1.08744319060889
1971-01-01,10.7196660738616,7.60537295721804
1971-04-01,2.15743810485733,3.65942441858493
1971-07-01,3.27633264739404,3.1765538527921
1971-10-01,0.938357060877593,6.58254047505977
1972-01-01,7.28217200949501,5.24469853228595
1972-04-01,8.97568880375204,7.54304773200829
1972-07-01,3.75864382945039,6.1174854089046
1972-10-01,6.64228689120563,9.27813536465294
1973-01-01,9.77924471360154,7.23715532038369
1973-04-01,4.33143717205553,-0.180318560546766
1973-07-01,-2.1089028974167,1.40536740040886
1973-10-01,3.77901581247357,-1.19479206989439
1974-01-01,-3.45368819245024,-3.59483802109679
1974-04-01,0.949659832838279,1.43770886651708
1974-07-01,-3.79909394945557,1.71458103916109
1974-10-01,-1.55664810512874,-5.89001208673636
1975-01-01,-4.90043291965492,3.34101062211971
1975-04-01,2.84863721820656,6.52584756043382
1975-07-01,6.79021714338646,5.64508043665057
1975-10-01,5.35240107360053,4.27832462411573
1976-01-01,8.89816092106201,7.91855987468324
1976-04-01,2.92279170502638,3.66339090504084
1976-07-01,2.18365901941908,4.18946706252399
1976-10-01,2.8800212034291,5.15660403922453
1977-01-01,4.71701020920605,4.68715705232512
1977-04-01,7.69323516144667,2.16314367391277
1977-07-01,7.14840309815727,3.76436224719185
1977-10-01,0.00797103914820241,5.9693987888167
1978-01-01,1.27732693056473,2.24090065859173
1978-04-01,15.1678417690114,8.46138743209082
1978-07-01,4.00289903896365,1.67611974906521
1978-10-01,5.34068877714304,3.21479952907424
1979-01-01,0.717730947713591,2.06626556734335
1979-04-01,0.426753423815995,-0.259751092890781
1979-07-01,2.96023791839559,3.87354388333989
1979-10-01,0.998932306801947,0.994090413021809
1980-01-01,1.25630965617276,-0.572197673227492
